Movie Name,stars,votes,genre,Gross ,popularity,Certification,genre1,genre2,genre3,star1,star2,star3,star4
Virtuosity,"Denzel Washington, Russell Crowe, Kelly Lynch, Stephen Spinella",31444,"Action, Crime, Sci-Fi","24,048,000",-,R,Action, Crime, Sci-Fi,Denzel Washington, Russell Crowe, Kelly Lynch, Stephen Spinella
Seventh Son,"Ben Barnes, Julianne Moore, Jeff Bridges, Alicia Vikander",79279,"Action, Adventure, Fantasy","17,223,265",-,PG-13,Action, Adventure, Fantasy,Ben Barnes, Julianne Moore, Jeff Bridges, Alicia Vikander
Babylon A.D.,"Vin Diesel, Michelle Yeoh, Mélanie Thierry, Gérard Depardieu",97431,"Action, Adventure, Sci-Fi","22,532,572",-,PG-13,Action, Adventure, Sci-Fi,Vin Diesel, Michelle Yeoh, Mélanie Thierry, Gérard Depardieu
Under Siege 2: Dark Territory,"Steven Seagal, Eric Bogosian, Everett McGill, Katherine Heigl",48744,"Action, Adventure, Thriller","50,024,083",-,R,Action, Adventure, Thriller,Steven Seagal, Eric Bogosian, Everett McGill, Katherine Heigl
The Happytime Murders,"Melissa McCarthy, Elizabeth Banks, Maya Rudolph, Leslie David Baker",29553,"Action, Comedy, Crime","20,706,452",-,R,Action, Comedy, Crime,Melissa McCarthy, Elizabeth Banks, Maya Rudolph, Leslie David Baker
Collateral Damage,"Arnold Schwarzenegger, John Leguizamo, Francesca Neri, Elias Koteas",76841,"Action, Drama, Thriller","40,077,257",-,R,Action, Drama, Thriller,Arnold Schwarzenegger, John Leguizamo, Francesca Neri, Elias Koteas
Whiteout,"Kate Beckinsale, Gabriel Macht, Tom Skerritt, Columbus Short",39782,"Action, Crime, Mystery","10,275,638",-,R,Action, Crime, Mystery,Kate Beckinsale, Gabriel Macht, Tom Skerritt, Columbus Short
Cop Out,"Bruce Willis, Tracy Morgan, Juan Carlos Hernández, Cory Fernandez",89487,"Action, Comedy, Crime","44,875,481",-,R,Action, Comedy, Crime,Bruce Willis, Tracy Morgan, Juan Carlos Hernández, Cory Fernandez
Stolen,"Nicolas Cage, Malin Akerman, Josh Lucas, Danny Huston",45884,"Action, Crime, Thriller","304,318",-,R,Action, Crime, Thriller,Nicolas Cage, Malin Akerman, Josh Lucas, Danny Huston
Beverly Hills Ninja,"Chris Farley, Nicollette Sheridan, Robin Shou, Nathaniel Parker",42884,"Action, Comedy","31,235,710",-,PG-13,Action, Comedy,,Chris Farley, Nicollette Sheridan, Robin Shou, Nathaniel Parker
Showtime,"Robert De Niro, Eddie Murphy, Rene Russo, Rachael Harris",64313,"Action, Comedy, Crime","38,082,712",-,PG-13,Action, Comedy, Crime,Robert De Niro, Eddie Murphy, Rene Russo, Rachael Harris
The Man,"Samuel L. Jackson, Eugene Levy, Miguel Ferrer, Luke Goss",26308,"Action, Comedy, Crime","8,326,035",-,PG-13,Action, Comedy, Crime,Samuel L. Jackson, Eugene Levy, Miguel Ferrer, Luke Goss
Taxi 4,"Samy Naceri, Frédéric Diefenthal, Bernard Farcy, Emma Wiklund",29855,"Action, Comedy, Crime",,-,Not Rated,Action, Comedy, Crime,Samy Naceri, Frédéric Diefenthal, Bernard Farcy, Emma Wiklund
